item,sector,region,policy,value,co2p,scc
Emissions,all,EUR,ibr,0.3282240907401812,25,250
Emissions,all,EUR,bcr,0.3231804873441879,25,250
Emissions,all,OG20,LSR,0.2516310638515096,25,250
Emissions,all,OG20,OBR,0.2369518452819852,25,250
Emissions,all,OG20,ABR,0.3252596793084095,25,250
Emissions,all,OG20,ibr,0.28060461184280516,25,250
Emissions,all,OG20,bcr,0.27402302267902634,25,250
Emissions,all,ROW,LSR,0.19685812070961983,25,250
Emissions,all,ROW,OBR,0.18928276784766496,25,250
Emissions,all,ROW,ABR,0.23918477560556095,25,250
Emissions,all,ROW,ibr,0.2199988051108992,25,250
Emissions,all,ROW,bcr,0.21539478020888847,25,250
Emissions,all,all,LSR,-3.0242560390356665,25,250
Emissions,all,all,OBR,-3.017019152947098,25,250
Emissions,all,all,ABR,-3.184489099771415,25,250
Emissions,all,all,ibr,-3.151801174188862,25,250
Emissions,all,all,bcr,-3.133077332456402,25,250
Intensity,EITE,chn,LSR,0.04303791029649506,25,250
Intensity,EITE,chn,OBR,0.04436002418954921,25,250
Intensity,EITE,chn,ABR,0.04106813594444425,25,250
Intensity,EITE,chn,ibr,0.04873180921720621,25,250
Intensity,EITE,chn,bcr,0.04791828539758569,25,250
Intensity,EITE,ind,LSR,0.013611730992524329,25,250
Intensity,EITE,ind,OBR,0.025470428718765703,25,250
Intensity,EITE,ind,ABR,-0.0483420721659189,25,250
Intensity,EITE,ind,ibr,0.028126460913679985,25,250
Intensity,EITE,ind,bcr,0.02783558712879941,25,250
Intensity,EITE,usa,LSR,-7.687161540625109,25,250
Intensity,EITE,usa,OBR,-7.627090613864951,25,250
Intensity,EITE,usa,ABR,-21.84910106086173,25,250
Intensity,EITE,usa,ibr,-22.552772087838836,25,250
Intensity,EITE,usa,bcr,-20.43722303352189,25,250
Intensity,EITE,EUR,LSR,0.2591883785915794,25,250
Intensity,EITE,EUR,OBR,0.2600719859288336,25,250
Intensity,EITE,EUR,ABR,0.3138278192966082,25,250
Intensity,EITE,EUR,ibr,0.3192537480398716,25,250
Intensity,EITE,EUR,bcr,0.31124151001593603,25,250
Intensity,EITE,OG20,LSR,0.1894429510547635,25,250
Intensity,EITE,OG20,OBR,0.18580603538482787,25,250
Intensity,EITE,OG20,ABR,0.24062522458931923,25,250
Intensity,EITE,OG20,ibr,0.24201008154485226,25,250
Intensity,EITE,OG20,bcr,0.23439086525922637,25,250
Intensity,EITE,ROW,LSR,0.14575772308333956,25,250
Intensity,EITE,ROW,OBR,0.1509061339707518,25,250
Intensity,EITE,ROW,ABR,0.1564677506545431,25,250
Intensity,EITE,ROW,ibr,0.19320575578245514,25,250
Intensity,EITE,ROW,bcr,0.18786822195795416,25,250
Intensity,non-EITE,chn,LSR,0.03621077189808197,25,250
Intensity,non-EITE,chn,OBR,0.03010998081334204,25,250
Intensity,non-EITE,chn,ABR,0.05354379608999427,25,250
Intensity,non-EITE,chn,ibr,0.03539235413385633,25,250
Intensity,non-EITE,chn,bcr,0.034480547528459304,25,250
Intensity,non-EITE,ind,LSR,0.1085632253361668,25,250
Intensity,non-EITE,ind,OBR,0.10473603375324991,25,250
Intensity,non-EITE,ind,ABR,0.12261209833099862,25,250
Intensity,non-EITE,ind,ibr,0.11154258416503637,25,250
Intensity,non-EITE,ind,bcr,0.11045150684629856,25,250
Intensity,non-EITE,usa,LSR,-22.154864098753592,25,250
Intensity,non-EITE,usa,OBR,-22.10042352074969,25,250
Intensity,non-EITE,usa,ABR,-22.241753126408092,25,250
Intensity,non-EITE,usa,ibr,-21.982966951606887,25,250
Intensity,non-EITE,usa,bcr,-21.999372523930205,25,250
Intensity,non-EITE,EUR,LSR,0.30459462892502565,25,250
Intensity,non-EITE,EUR,OBR,0.29455918135905534,25,250
Intensity,non-EITE,EUR,ABR,0.3487807973249657,25,250
Intensity,non-EITE,EUR,ibr,0.3106568479966709,25,250
Intensity,non-EITE,EUR,bcr,0.3074012071058174,25,250
Intensity,non-EITE,OG20,LSR,0.22099372822401708,25,250
Intensity,non-EITE,OG20,OBR,0.21083377486004196,25,250
Intensity,non-EITE,OG20,ABR,0.2679644053359853,25,250
Intensity,non-EITE,OG20,ibr,0.24236836962128194,25,250
Intensity,non-EITE,OG20,bcr,0.23768558483143742,25,250
Intensity,non-EITE,ROW,LSR,0.19464694486328593,25,250
Intensity,non-EITE,ROW,OBR,0.1900675909633609,25,250
Intensity,non-EITE,ROW,ABR,0.22308128328076826,25,250
Intensity,non-EITE,ROW,ibr,0.21584547275279586,25,250
Intensity,non-EITE,ROW,bcr,0.2120981285078649,25,250
Lab,all,chn,LSR,0.018087048623094404,25,250
Lab,all,chn,OBR,0.017580914540182846,25,250
Lab,all,chn,ABR,0.0209523213874796,25,250
Lab,all,chn,ibr,0.0164122574542791,25,250
Lab,all,chn,bcr,0.01635840753444473,25,250
Lab,all,ind,LSR,0.04248922401115518,25,250
Lab,all,ind,OBR,0.04045241796579724,25,250
Lab,all,ind,ABR,0.05365107248365142,25,250
Lab,all,ind,ibr,0.03795380106570434,25,250
Lab,all,ind,bcr,0.03782346541523207,25,250
Lab,all,usa,LSR,-0.7426036712860018,25,250
Lab,all,usa,OBR,-0.69249248129295,25,250
Lab,all,usa,ABR,-0.8987924719054852,25,250
Lab,all,usa,ibr,-0.7082003554892191,25,250
Lab,all,usa,bcr,-0.7049652770217296,25,250
Lab,all,EUR,LSR,0.03770712936728149,25,250
Lab,all,EUR,OBR,0.03703886673664947,25,250
Lab,all,EUR,ABR,0.04409903165534246,25,250
Lab,all,EUR,ibr,0.040134444281791914,25,250
Lab,all,EUR,bcr,0.039459761577331776,25,250
Lab,all,OG20,LSR,0.041735342894666516,25,250
Lab,all,OG20,OBR,0.04299957529410037,25,250
Lab,all,OG20,ABR,0.04578531294019417,25,250
Lab,all,OG20,ibr,0.049528576416668635,25,250
Lab,all,OG20,bcr,0.0485116536508956,25,250
Lab,all,ROW,LSR,0.01200675004373597,25,250
Lab,all,ROW,OBR,0.014181407212743302,25,250
Lab,all,ROW,ABR,0.0056341607683974004,25,250
Lab,all,ROW,ibr,0.015399302200891363,25,250
Lab,all,ROW,bcr,0.015174925607830403,25,250
Cap,all,chn,LSR,0.01911182505176523,25,250
Cap,all,chn,OBR,0.01783069951719618,25,250
Cap,all,chn,ABR,0.024001345477953073,25,250
Cap,all,chn,ibr,0.016785229402760393,25,250
Cap,all,chn,bcr,0.01668318797056756,25,250
Cap,all,ind,LSR,0.05048772930065226,25,250
Cap,all,ind,OBR,0.0472906787894134,25,250
Cap,all,ind,ABR,0.06686564129463335,25,250
Cap,all,ind,ibr,0.04568118900094564,25,250
Cap,all,ind,bcr,0.045381080988549094,25,250
Cap,all,usa,LSR,-0.5647758654417245,25,250
Cap,all,usa,OBR,-0.5106149058359377,25,250
Cap,all,usa,ABR,-0.7281250848491405,25,250
Cap,all,usa,ibr,-0.5230073970511229,25,250
Cap,all,usa,bcr,-0.5201996106589446,25,250
Cap,all,EUR,LSR,0.03840724697268261,25,250
Cap,all,EUR,OBR,0.036799410027654744,25,250
Cap,all,EUR,ABR,0.048090599485961505,25,250
Cap,all,EUR,ibr,0.040108870845201317,25,250
Cap,all,EUR,bcr,0.03939432551482991,25,250
Cap,all,OG20,LSR,0.05479906929066747,25,250
Cap,all,OG20,OBR,0.05409039236592417,25,250
Cap,all,OG20,ABR,0.06596753617704731,25,250
Cap,all,OG20,ibr,0.062473418130770675,25,250
Cap,all,OG20,bcr,0.061100151555382176,25,250
Cap,all,ROW,LSR,0.033485929184839947,25,250
Cap,all,ROW,OBR,0.0329913870211751,25,250
Cap,all,ROW,ABR,0.03755051147664723,25,250
Cap,all,ROW,ibr,0.03540050747385948,25,250
Cap,all,ROW,bcr,0.034805763372358633,25,250
Welfare,all,chn,LSR,0.008989669935943745,25,250
Welfare,all,chn,OBR,0.0010379617700229105,25,250
Welfare,all,chn,ABR,0.029843001971974203,25,250
Welfare,all,chn,ibr,0.0011913956715625673,25,250
Welfare,all,chn,bcr,7.04648118676765e-4,25,250
Welfare,all,ind,LSR,0.0545300964628348,25,250
Welfare,all,ind,OBR,0.05380535331682701,25,250
Welfare,all,ind,ABR,0.06723781832851383,25,250
Welfare,all,ind,ibr,0.05063823328672612,25,250
Welfare,all,ind,bcr,0.05062036673657566,25,250
Welfare,all,usa,LSR,-0.12918465632776321,25,250
Welfare,all,usa,OBR,-0.12552058154918777,25,250
Welfare,all,usa,ABR,-0.16997175869850611,25,250
Welfare,all,usa,ibr,-0.16262545100489412,25,250
Welfare,all,usa,bcr,-0.15629381442355816,25,250
Welfare,all,EUR,LSR,0.03639501382797228,25,250
Welfare,all,EUR,OBR,0.032250090560603795,25,250
Welfare,all,EUR,ABR,0.052800141685804824,25,250
Welfare,all,EUR,ibr,0.03567335429157659,25,250
Welfare,all,EUR,bcr,0.0348429892304436,25,250
Welfare,all,OG20,LSR,0.021128403633463577,25,250
Welfare,all,OG20,OBR,0.019708340337842856,25,250
Welfare,all,OG20,ABR,0.033621957640295186,25,250
Welfare,all,OG20,ibr,0.029994491992924033,25,250
Welfare,all,OG20,bcr,0.02867476748473763,25,250
Welfare,all,ROW,LSR,-0.03678201754148125,25,250
Welfare,all,ROW,OBR,-0.03310108655754096,25,250
Welfare,all,ROW,ABR,-0.05394983007236398,25,250
